FILE_INFO
ListSeparator=,
DecimalSeparator=.

SESSION_INFO
TimeZone,UTC
TimeZoneOffset,0
DateTimeFormat,MM/DD/YY h:mm:ss.nnnnnnnnn

DEVICE_INFO
Address,*

CHANNEL_INFO
Channel,Type,SampleRate,Equation,Coefficients,Unit,UnitSymbol,WhereApplied,WhenApplied
3969:ch3,Timeseries,64Hz,,,,,,
65142:ch3,Timeseries,64Hz,,,,,,

DATA_START
Time,3969:ch3,65142:ch3
09/04/19 21:11:08.109375000,-1.001759,-1.002932
09/04/19 21:11:08.125000000,-1.001507,-1.001207
09/04/19 21:11:08.140625000,-1.000249,-1.00096
09/04/19 21:11:08.156250000,-0.9989899,-1.000221
09/04/19 21:11:08.171875000,-0.9977312,-1.001207
09/04/19 21:11:08.187500000,-0.9987382,-1.001207
09/04/19 21:11:08.203125000,-0.9989899,-1.000714
09/04/19 21:11:08.218750000,-0.9984864,-0.9977569
09/04/19 21:11:08.234375000,-0.9934515,-0.9982498
09/04/19 21:11:08.250000000,-0.9962207,-0.9999748
09/04/19 21:11:08.265625000,-1.004025,-1.00096
09/04/19 21:11:08.281250000,-1.006291,-1.003918
09/04/19 21:11:08.296875000,-1.001004,-1.003918
09/04/19 21:11:08.312500000,-0.9977312,-1.0017
09/04/19 21:11:08.328125000,-0.9962207,-1.0017
09/04/19 21:11:08.343750000,-1.002011,-1.000468
09/04/19 21:11:08.359375000,-1.000752,-0.998989
09/04/19 21:11:08.375000000,-0.9974794,-0.9987426
09/04/19 21:11:08.390625000,-0.9962207,-0.9982498
09/04/19 21:11:08.406250000,-0.9967242,-0.9992355
09/04/19 21:11:08.421875000,-0.9994934,-1.001946
09/04/19 21:11:08.437500000,-1.001256,-1.002192
09/04/19 21:11:08.453125000,-1.0005,-1.002439
09/04/19 21:11:08.468750000,-1.0005,-1.002192
09/04/19 21:11:08.484375000,-0.9997451,-1.000468
09/04/19 21:11:08.500000000,-0.9987382,-1.000468
09/04/19 21:11:08.515625000,-0.9982347,-1.00096
09/04/19 21:11:08.531250000,-0.996976,-0.9992355
09/04/19 21:11:08.546875000,-0.9984864,-0.9987426
09/04/19 21:11:08.562500000,-0.9979829,-1.000221
